Company Name,Job Title,Salary ($) /yr,Job Description,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Salary($) /month ,Company age,job_state,Remote,seniority,desc_len
Princeton University ,Data Scientist Positions,116235.0,Data Scientist positions available Princeton Precision Health Initiative Princeton University The Princeton Precision Health PPH initiative seeks hire staff scientists data science computational biology psychology neuroscience The rank Associate Professional Specialist Professional Specialist commensurate experience The PPH initiative takes interdisciplinary datadriven approach healthcare mental health leveraging synergy science policy enable targeted solutions biomedical clinical societal challenges support precision health Professional data scientists expertise computer science emphasis machine learning critical contributors success PPH The positions report Professor Olga Troyanskaya Director PPH though data scientists expected work multiple faculty research groups participating PPH research providing data analysis modeling expertise across interdisciplinary research space Princeton Data scientists strong track record modeling big data using advanced deeplearning methods A prior experience neural biological biomedical genetic data advantageous In addition candidates experience creating robust software code shared across groups biomedical research community The data scientists must serve hub collaborative projects across disciplines thus extensive research experience training required Applications must submitted online httpswwwprincetoneduacadpositionsposition32821 Applications must include curriculum vitae contact information three references Essential Qualifications A PhD Computer Science Computational Biology Neuroscience Psychology related field These positions subject Universitys background check policy The work location positions inperson campus Princeton University,4.5,"Princeton, NJ",5001 to 10000 Employees,1746,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,9686.25,278, NJ,0.0,nf,2064
Nintendo ,CONTRACT - Senior Data Scientist (NTD),92.0,Data Scientist positions available Princeton Precision Health Initiative Princeton University The Princeton Precision Health PPH initiative seeks hire staff scientists data science computational biology psychology neuroscience The rank Associate Professional Specialist Professional Specialist commensurate experience The PPH initiative takes interdisciplinary datadriven approach healthcare mental health leveraging synergy science policy enable targeted solutions biomedical clinical societal challenges support precision health Professional data scientists expertise computer science emphasis machine learning critical contributors success PPH The positions report Professor Olga Troyanskaya Director PPH though data scientists expected work multiple faculty research groups participating PPH research providing data analysis modeling expertise across interdisciplinary research space Princeton Data scientists strong track record modeling big data using advanced deeplearning methods A prior experience neural biological biomedical genetic data advantageous In addition candidates experience creating robust software code shared across groups biomedical research community The data scientists must serve hub collaborative projects across disciplines thus extensive research experience training required Applications must submitted online httpswwwprincetoneduacadpositionsposition32821 Applications must include curriculum vitae contact information three references Essential Qualifications A PhD Computer Science Computational Biology Neuroscience Psychology related field These positions subject Universitys background check policy The work location positions inperson campus Princeton University,4.3,"Redmond, WA",5001 to 10000 Employees,-1,Company - Public,Video Game Publishing,Media & Communication,$10+ billion (USD),7.67,-1, WA,0.0,senior,2064
Nintendo ,CONTRACT - Senior Data Scientist (NTD),92.0,Nintendo Technology Development The worldwide pioneer creation interactive entertainment Nintendo Co Ltd Kyoto Japan manufactures markets hardware software Nintendo Switch™ system Nintendo 3DS™ family portable systems Since 1983 launched Nintendo Entertainment System™ Nintendo sold 47 billion video games 740 million hardware units globally including Nintendo Switch Nintendo 3DS family systems well Game Boy™ Game Boy Advance Nintendo DS™ family systems Super NES™ Nintendo 64™ Nintendo GameCube™ Wii™ Wii U™ systems It also created industry icons become wellknown household names Mario Donkey Kong Metroid Zelda Pokémon A wholly owned subsidiary Nintendo Technology Development based,4.3,"Redmond, WA",5001 to 10000 Employees,-1,Company - Public,Video Game Publishing,Media & Communication,$10+ billion (USD),7.67,-1, WA,0.0,senior,852
Facebook App ,"Data Scientist, Product Analytics",140000.0,As Data Scientist Meta shape future peoplefacing businessfacing products build across entire family applications Facebook Instagram Messenger WhatsApp Oculus By applying technical skills analytical mindset product intuition one richest data sets world help define experiences build billions people hundreds millions businesses around world You collaborate wide array product business problems diverse set crossfunctional partners across Product Engineering Research Data Engineering Marketing Sales Finance others You use data analysis identify solve product development’s biggest challenges You influence product strategy investment decisions data focused impact collaborate teams By joining Meta become part worldclass analytics community dedicated skill development career growth analytics beyondProduct leadership You use data shape product development quantify new opportunities identify upcoming challenges ensure products build bring value people businesses Meta You help partner teams prioritize build set goals understand product’s ecosystemAnalytics You guide teams using data insights You focus developing hypotheses employ diverse toolkit rigorous analytical approaches different methodologies frameworks technical approaches test themCommunication influence You won’t simply present data tell datadriven stories You convince influence partners using clear insights recommendations You build credibility structure clarity trusted strategic partner Meta builds technologies help people connect find communities grow businesses When Facebook launched 2004 changed way people connect Apps like Messenger Instagram WhatsApp empowered billions around world Now Meta moving beyond 2D screens toward immersive experiences like augmented virtual reality help build next evolution social technology People choose build careers building us Meta help shape future take us beyond digital connection makes possible today—beyond constraints screens limits distance even rules physics,3.9,"San Francisco, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),11666.67,20, CA,0.0,nf,2525
Indeed ,Staff Data Scientist - Matching Science,201000.0,Our Mission As world’s number 1 job site mission help people get jobs We strive cultivate inclusive accessible workplace people feel comfortable Were looking grow teams people share enthusiasm innovation creating best experience job seekers comScore Total Visits September 2023 Day Day As Staff Data Scientist specializing Search Retrieval forefront enhancing optimizing search algorithms You play key role driving innovation efficiency users interact platform The ideal candidate bring deep understanding data science machine learning search retrieval methodologies develop implement robust solutions As Staff Data Scientist team lead You one team’s major workstreams help drive technical direction team guide members team achieve producttechnical goals On daily basis explore data formulate problem statements develop deploy predictive models monitoring production guide team Additionally collaborate crossfunctional teams evangelize teams work stay updated latest advancements field,4.2,United States,10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$1 to $5 billion (USD),16750.0,20,United States,0.0,nf,1350
AppFolio ,Sr. Data Scientist,160000.0,What we’re looking The Senior Data Scientist pivotal leveraging datadriven insights enhance user experiences improve data interpretability streamline customer financial processes drive product growth Your impact Partner Prod Dev teams identify systemic constraints missing data status inefficiencies preclude AppFolio customers’ Accounting System Record,3.9,"Santa Barbara, CA",1001 to 5000 Employees,2006,Company - Public,Software Development,Information Technology,$100 to $500 million (USD),13333.33,18, CA,0.0,senior,419
BlueSky Technology Solutions ,Data Scientist - Population Health - 100% Remote,115000.0,We immediate need Data Scientist experience supporting Population Health analytics This permanent position 100 remote offers competitive compensation depend level experience Excellent benefits package Target Skills Experience 4 years Data Science experience focus statisticspredictive modeling related business strategy Strong knowledge natural language processing machine learning conceptual modelling hypothesis testing relational database management systems Oracle SQL Server etc,-1.0,United States,1 to 50 Employees,-1,Company - Private,Unknown,Unknown,Less than $1 million (USD),9583.33,-1,United States,1.0,nf,570
"Gametime United, Inc. ",Data Scientist - Finance,190500.0,About Us Live experiences help people cross today’s digital divide focus truly connects us – new onceinalifetime moment that’s bringing us together To fulfill Gametime’s mission uniting world shared experiences make easy people discover access live experiences matter With platforms iOS Android mobile web desktop supporting 25000 events across US Canada reimagining event ticket industry order move speed life,4.4,Remote,201 to 500 Employees,2013,Company - Private,Ticket Sales,"Arts, Entertainment & Recreation",$25 to $100 million (USD),15875.0,11,Remote,1.0,nf,553
TikTok ,Data Scientist - TikTok Ads,224500.0,Responsibilities TikTok leading destination shortform mobile video Our mission inspire creativity bring joy TikTok global offices including Los Angeles New York London Paris Berlin Dubai Singapore Jakarta Seoul Tokyo Why Join Us Creation core TikToks purpose Our platform built help imaginations thrive This doubly true teams make TikTok possible Together inspire creativity bring joy mission believe aim towards achieving every day To us every challenge matter difficult opportunity learn innovate grow one team Status quo Never Courage Always At TikTok create together grow together Thats drive impact company communities serve Join us About The Tiktok Monetization Product Data Science Team Were TikTok Monetization Products data science team enables champions data driven decision making Our Vision become world class data science team data used rigorously drive decision making Our Mission drive monetization sustainable revenue growth TikTok data science scale Interact crossfunctionally making business recommendations eg costbenefit forecasting experiment analysis effective presentations findings multiple levels stakeholders visual displays quantitative information Qualifications TikTok committed creating inclusive space employees valued skills experiences unique perspectives Our platform connects people across globe workplace At TikTok mission inspire creativity bring joy To achieve goal committed celebrating diverse voices creating environment reflects many communities reach We passionate hope TikTok committed providing reasonable accommodations recruitment processes candidates disabilities pregnancy sincerely held religious beliefs reasons protected applicable laws If need assistance reasonable accommodation please reach us ttaccommodationstiktokcom Job Information The base salary range position selected city 153000 296000 annually Compensation may vary outside range depending number factors including candidate’s qualifications skills competencies experience location Base pay one part Total Package provided compensate recognize employees work role may eligible additional discretionary bonusesincentives restricted stock units Our company benefits designed convey company culture values create efficient inspiring work environment support employees give best work life We offer following benefits eligible employees We cover 100 premium coverage employee medical insurance approximately 75 premium coverage dependents offer Health Savings AccountHSA company match As well Dental Vision ShortLong term Disability Basic Life Voluntary Life ADD insurance plans In addition Flexible Spending AccountFSA Options like Health Care Limited Purpose Dependent Care 10 paid holidays per year plus 17 days Paid Personal Time Off PPTO prorated upon hire increased tenure 10 paid sick days per year well 12 weeks paid Parental leave 8 weeks paid Supplemental Disability We also provide generous benefits like mental emotional health benefits EAP Lyra A 401K company match gym cellphone service reimbursements The Company reserves right modify change benefits programs time without notice,3.4,"San Jose, CA",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,18708.33,8, CA,0.0,nf,3960
TikTok ,Data Scientist,177000.0,Responsibilities TikTok leading destination shortform mobile video Our mission inspire creativity bring joy TikTok global offices including Los Angeles New York London Paris Berlin Dubai Singapore Jakarta Seoul Tokyo Why Join Us Creation core TikToks purpose Our platform built help imaginations thrive This doubly true teams make TikTok possible Together inspire creativity bring joy mission believe aim towards achieving every day To us every challenge matter difficult opportunity learn innovate grow one team Status quo Never Courage Always At TikTok create together grow together Thats drive impact company communities serve Join us About Team TikToks Data Cycling Center Team actively seeking seasoned Data Scientist fortify data management analytics capabilities The candidate play pivotal role steering data annotation management bolstering data analytics support adeptly managing stakeholders across various business verticals This role vital enhancing datadriven initiatives ensuring impeccable data quality optimizing machine learning performance across spectrums business About Role The Data Scientist assume handson multifaceted role within international organization navigating complex data labeling processes extensive stakeholder management comprehend address diverse needs In role meticulous attention detail robust problemsolving abilities proclivity collaborative engagement technical nontechnical stakeholders paramount The Data Scientist pivotal amplifying efficacy data labeling processes driving strategic operational advancements within team Responsibilities Qualifications We seek dynamic Data Scientist blending robust technical expertise keen business acumen navigate intricate landscape advertising ecosystem The ideal candidate embody following qualifications In role pivotal synergizing technical data science expertise strategic business understanding driving impactful contributions across international multifaceted organization TikTok committed creating inclusive space employees valued skills experiences unique perspectives Our platform connects people across globe workplace At TikTok mission inspire creativity bring joy To achieve goal committed celebrating diverse voices creating environment reflects many communities reach We passionate hope TikTok committed providing reasonable accommodations recruitment processes candidates disabilities pregnancy sincerely held religious beliefs reasons protected applicable laws If need assistance reasonable accommodation please reach us tacaccommodationstiktokcom Job Information The base salary range position selected city 114000 240000 annually Compensation may vary outside range depending number factors including candidate’s qualifications skills competencies experience location Base pay one part Total Package provided compensate recognize employees work role may eligible additional discretionary bonusesincentives restricted stock units Our company benefits designed convey company culture values create efficient inspiring work environment support employees give best work life We offer following benefits eligible employees We cover 100 premium coverage employee medical insurance approximately 75 premium coverage dependents offer Health Savings AccountHSA company match As well Dental Vision ShortLong term Disability Basic Life Voluntary Life ADD insurance plans In addition Flexible Spending AccountFSA Options like Health Care Limited Purpose Dependent Care 10 paid holidays per year plus 17 days Paid Personal Time Off PPTO prorated upon hire increased tenure 10 paid sick days per year well 12 weeks paid Parental leave 8 weeks paid Supplemental Disability We also provide generous benefits like mental emotional health benefits EAP Lyra A 401K company match gym cellphone service reimbursements The Company reserves right modify change benefits programs time without notice,3.4,"San Jose, CA",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,14750.0,8, CA,0.0,nf,4898
Koddi ,Junior Data Scientist,124823.72,Passionate development leading technologies Looking become major player diverse team next career adventure Koddi Data Scientists drive innovation embracing challenges leveraging decision science solve complex problems adtech In position responsible designing building deploying complex systems model glean useful insights billions rows data You inform decisions based complex statistical modeling using machine learning optimizing forecasting algorithms powered industryleading technologies WHAT YOU WILL DO Build production grade models largescale datasets optimize marketing performance utilizing advanced statistical modeling machine learning optimization marketing science research,3.8,Remote,Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,10401.98,-1,Remote,1.0,junior,813
TikTok ,"Data Scientist, Analytics - Tiktok",192000.0,Responsibilities TikTok leading destination shortform mobile video Our mission inspire creativity bring joy TikTok global offices including Los Angeles New York London Paris Berlin Dubai Singapore Jakarta Seoul Tokyo Why Join Us Creation core TikToks purpose Our platform built help imaginations thrive This doubly true teams make TikTok possible Together inspire creativity bring joy mission believe aim towards achieving every day To us every challenge matter difficult opportunity learn innovate grow one team Status quo Never Courage Always At TikTok create together grow together Thats drive impact company communities serve Join us TikTokData Science team responsible data science analytics related work cooperating key value chains TikTok including User Growth PGC Content Ecosystem Social Creation Product Infrastructure Research Science etc The goal team generate actionable insights data help stakeholders make right decisions Our main tasks include metrics defining root cause analysis experimentation methodology featurestrategy evaluation exploratory analysis find opportunities The primary role Data Scientist Data team conduct deep analysis user behavior product features content ecosystem generate business insights could applied actionable improving initiatives You work closely crossfunction teams Product Management Research Development Machine Learning Engineering improve user experience fulfill growth TikTok different regions Responsibilities What YouII Do Qualifications TikTok committed creating inclusive space employees valued skills experiences unique perspectives Our platform connects people across globe workplace At TikTok mission inspire creativity bring joy To achieve goal committed celebrating diverse voices creating environment reflects many communities reach We passionate hope TikTok committed providing reasonable accommodations recruitment processes candidates disabilities pregnancy sincerely held religious beliefs reasons protected applicable laws If need assistance reasonable accommodation please reach us gprdaccommodationstiktokcom Job Information The base salary range position selected city 144000 240000 annually Compensation may vary outside range depending number factors including candidate’s qualifications skills competencies experience location Base pay one part Total Package provided compensate recognize employees work role may eligible additional discretionary bonusesincentives restricted stock units Our company benefits designed convey company culture values create efficient inspiring work environment support employees give best work life We offer following benefits eligible employees We cover 100 premium coverage employee medical insurance approximately 75 premium coverage dependents offer Health Savings AccountHSA company match As well Dental Vision ShortLong term Disability Basic Life Voluntary Life ADD insurance plans In addition Flexible Spending AccountFSA Options like Health Care Limited Purpose Dependent Care 10 paid holidays per year plus 17 days Paid Personal Time Off PPTO prorated upon hire increased tenure 10 paid sick days per year well 12 weeks paid Parental leave 8 weeks paid Supplemental Disability We also provide generous benefits like mental emotional health benefits EAP Lyra A 401K company match gym cellphone service reimbursements The Company reserves right modify change benefits programs time without notice,3.4,"San Jose, CA",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,16000.0,8, CA,0.0,nf,4348
